Theme,Song,Album Era,Lyric
Colors and Painting,Ronan,Red,I remember your blue eyes looking into mine
Colors and Painting,Ronan,Red,"In this hospital grey, we'll just disappear"
Colors and Painting,Nothing New,Red,And my cheeks are growing tired / From turning red and faking smiles
Colors and Painting,Run,Red,I could see this view a hundred times / Pale blue sky reflected in your eyes
Colors and Painting,All Too Well (10 Minute Version),Red,And did the twin flame bruise paint you blue?
Colors and Painting,Sparks Fly,Speak Now,"Get me with those green eyes, baby, as the lights go down"
Colors and Painting,Dear John,Speak Now,You paint me blue sky / Then go back and turn it to rain
Colors and Painting,Superman,Speak Now,"Something in his deep brown eyes has me saying / ""He's not all bad like his reputation"""
Colors and Painting,Fifteen,Fearless,You sit in class next to a redhead named Abigail
Colors and Painting,Love Story,Fearless,"Cause you were Romeo, I was a scarlet letter"
Colors and Painting,Love Story,Fearless,"I talked to your dad, go pick out a white dress"
Colors and Painting,The Best Day,Fearless,"Look now, the sky is gold / I hug your legs and fall asleep on the way home"
Colors and Painting,The Best Day,Fearless,There is a video I found from back when I was three / You set up a paint set in the kitchen and you're talking to me
Colors and Painting,The Other Side Of the Door,Fearless,With your face and the beautiful eyes / And the conversation with the little white lies
Colors and Painting,The Other Side Of the Door,Fearless,"After everything and that little black dress / After everything I must confess, I need you"
Colors and Painting,Today Was A Fairytale,Fearless,I wore a dress / You wore a dark grey t-shirt
Colors and Painting,Bye Bye Baby,Fearless,"Lost in the gray / And I try to grab at the fray / 'Cause I, I still love you but I can't"
Colors and Painting,Tim McGraw,Taylor Swift,He said the way my blue eyes shined / Put those Georgia stars to shame that night
Colors and Painting,Picture To Burn,Taylor Swift,You're a redneck heartbreaker / Who's really bad at lying
Colors and Painting,Cold As You,Taylor Swift,You put up walls and paint them / All a shade of gray
Colors and Painting,Tied Together with a Smile,Taylor Swift,That you cry but you don't tell anyone / That you might not be the golden one
Colors and Painting,I'm Only Me When I'm With You,Taylor Swift,You and I are painting pictures in the sky / And sometimes we don't say a thing
Communication and Silence,Maroon,Midnights,the rust between telephones
Communication and Silence,Maroon,Midnights,"when the silence came, we were shaking, blind, and hazy"
Communication and Silence,Snow on the Beach,Midnights,"but it's coming down, no sound, it's all around"
Communication and Silence,"You're on your own, kid",Midnights,I touch my phone as if it's your face 
Communication and Silence,Midnight Rain,Midnights,It came like a postcard
Communication and Silence,Question…?,Midnights,"fucking situations, circumstances, miscommunications"
Communication and Silence,You're Losing Me,Midnights,"You say, ""I don't understand,"" and I say, ""I know you don't"""
Communication and Silence,Hits different,Midnights,I slur your name til someone puts me in a car / I stopped receiving invitations
Communication and Silence,Hits different,Midnights,"""Do something, babe, say something"" (say something)"
Communication and Silence,champagne problems,evermore,Bustling crowds or silent sleepers / You're not sure which is worse
Communication and Silence,champagne problems,evermore,"You had a speech, you're speechless / Love slipped beyond your reaches"
Communication and Silence,cowboy like me,evermore,Now I’m waiting by the phone like I'm sitting in an airport bar
Communication and Silence,closure,evermore,Yes I got your letter
Communication and Silence,august,folklore,Will you call me when you're back in school?
Communication and Silence,august,folklore,Cancel plans just in case you'd call
Communication and Silence,peace,folklore,Give you the silence that only comes when two people understand each other
Communication and Silence,I Forgot That You Existed,Lover,I forgot that you / Sent me a clear message
Communication and Silence,I Forgot That You Existed,Lover,So peaceful and quiet
Communication and Silence,Cornelia Street,Lover,But then you called / Showed your hand
Communication and Silence,Afterglow,Lover,"I lived like an island / Punished you with silence / Went off like sirens, just crying"
Communication and Silence,Me!,Lover,I know that I went psycho on the phone / I never leave well enough alone
Communication and Silence,End Game,reputation,"Big reputation, big reputation / Ooh you and me would be a big conversation, ah"
Communication and Silence,End Game,reputation,"I'm one call away, whenever you need me"
Communication and Silence,Dress,reputation,"My one and only, my lifeline"
Communication and Silence,This Is Why We Can't Have Nice Thigs,reputation,Get you on the phone and mind-twist you
Communication and Silence,All You Had To Do Was Stay,1989,"Here you are now, calling me up, but I don't know what to say / I've been picking up the pieces of the mess you made"
Communication and Silence,I Wish You Would,1989,"I wish you would come back, / Wish I never hung up the phone like I did."
Communication and Silence,This Love,1989,In silent screams
Communication and Silence,You Are In Love,1989,"You can hear it in the silence (silence), silence (silence), you"
Communication and Silence,You Are In Love,1989,You fight and you talk
Communication and Silence,All Too Well,Red,And maybe we got lost in translation
Communication and Silence,All Too Well,Red,And you call me up again just to break me like a promise
Communication and Silence,All Too Well,Red,You mail back my things and I walk home alone
Communication and Silence,I Almost Do,Red,It takes everything in me / Not to call you
Communication and Silence,I Almost Do,Red,"I bet you think I either moved on or hate you / 'Cause each time you reach out, there's no reply / I bet it never, ever occurred to you / That I can't say hello to you and risk another goodbye"
Communication and Silence,We Are Never Getting Back Together,Red,"I say, ""I hate you"", we break up, you call me, ""I love you"""
Communication and Silence,We Are Never Getting Back Together,Red,"Ugh, so he calls me up and he's like, ""I still love you"" / And I'm like, ""I just, I mean, this is exhausting, you know?"
Communication and Silence,Holy Ground,Red,"Yeah, you skip the conversation when you already know / I left a note on the door with a joke we'd made / And that was the first day"
Communication and Silence,Sad Beautiful Tragic,Red,"Long handwritten note, deep in your pocket / Words, how little they mean when you're a little too late"
Communication and Silence,Sad Beautiful Tragic,Red,"In dreams, I meet you in warm conversation"
Communication and Silence,Sad Beautiful Tragic,Red,"Hang up, give up, and for the life of us / We can't get back"
Communication and Silence,Sad Beautiful Tragic,Red,"Distance, timing, breakdown, fighting / Silence, the train runs off its tracks"
Communication and Silence,The Moment I knew,Red,"You called me later / And said, ""I'm sorry, I didn't make it"""
Communication and Silence,Girl At Home ,Red,I see you turn off your phone
Communication and Silence,Girl At Home ,Red,"Call a cab, lose my number / You're about to lose your girl / Call a cab, lose my number / Let's consider this lesson learned"
Communication and Silence,Babe,Red,"You call, but I won't hear it / You said no one else, how could you do this, babe?"
Communication and Silence,Babe,Red,"I break down every time you call / We're a wreck, you're the wrecking ball"
Communication and Silence,Babe,Red,"This is the last time I'll ever call you, babe / (This is the last time, this is the last time)"
Communication and Silence,Message In A Bottle,Red,"A message in a bottle is all I can do / Standing here, hoping it gets to you"
Communication and Silence,Run,Red,"There's a chain 'round your throat, piece of paper where I wrote / ""I'll wait for you"" / There's a key on the chain, there's a picture in a frame / Take it with you"
Communication and Silence,The Very First Night,Red,Didn't read the note on the Polaroid picture / They don't know how much I miss you
Communication and Silence,The Very First Night,Red,"I'm the one on the phone as you whisper / ""Do you know how much I miss you?"""
Communication and Silence,Back to December,Speak Now,"We small talk, work and the weather / Your guard is up and I know why"
Communication and Silence,Back to December,Speak Now,"These days, I haven't been sleepin' / Stayin' up playin' back myself leavin' / When your birthday passed and I didn't call"
Communication and Silence,Speak Now,Speak Now,"I hear the preacher say, ""Speak now or forever hold your peace"" / There's the silence, there's my last chance"
Communication and Silence,Dear John,Speak Now,"Wondering which version of you I might get on the phone / Tonight / Well, I stopped picking up, and this song is to let you know why"
Communication and Silence,The Story Of Us,Speak Now,"Oh, a simple complication / Miscommunications lead to fall out"
Communication and Silence,The Story Of Us,Speak Now,"I'd tell you I miss you, but I don't know how / I never heard silence quite this loud"
Communication and Silence,Enchanted,Speak Now,The playful conversation starts / Counter all your quick remarks / Like passing notes in secrecy
Communication and Silence,Enchanted,Speak Now,Counter all your quick remarks / Like passing notes in secrecy
